Date,City,State,Listed in FBI SHR (2009-2012),TOTAL SHOT (Not Including Shooter),Number Killed [CALCULATED],Number Injured,Females Killed,Males Killed,Children Killed (17 and Under),Shooter Suicide,Handgun,Assault Weapon,Other,Unknown,Shooter 1 Name,Shooter 1 Age,Shooter 1 Gender,Shooter 1 Prohibited,Shooter 2 Name,Shooter 2 Age,Shooter 2 Gender,Shooter 2 Prohibited,Shooter 3 Name,Shooter 3 Age,Shooter 3 Gender,Shooter 3 Prohibited,Prohibited shooter,"Shot Current/ Former Intimate Partner, Including Marriage",Shot Current/Former Partner by Marriage,Shooter/Victim Had Children In Common,Killed Other Family,Previous DV Arrest or DV Restraining Order,Prior history of DV,Notes on DV history,Killed Intimate Partner or Family [CALCULATED] ,Law Enforcement Directly Threatened,Law Enforcement Injured/Killed,Home,School,Workplace,Multiple,Other (Note),Solely Home But Not DV [CALCULATED],Red Flag,Subsequent FBI Terrorism Investigation,Public Space,Gun-Free Zone,Took place exclusively in private residence(s)
1/16/10,Bellville,TX,Yes,5,5,0,3,2,1,No,1,0,1,0,Maron Thomas,20,Male,No, ,,,, ,,,,No,No,No,No,Yes,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
1/19/10,Appomatox,VA,Yes,8,8,0,4,4,4,No,0,0,1,0,Christopher Speight,39,Male,No, ,,,, ,,,,No,No,No,No,Yes,Unknown,Unknown,,Yes,Yes,No,Yes,No,No,No,,No,No,No,No,No,yes
3/26/10,New Orleans,LA,Yes,4,4,0,3,1,3,No,1,0,0,0,Damian Jordan,22,Male,Yes, ,,,, ,,,,Yes,No,No,No,Yes,Yes,Yes,"A yr before the shooting, Jordan struck his girlfriend in the face with the butt of a rifle, resulting in charges for home invasion and agg. battery",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
3/30/10,Washington,DC,Yes,10,4,6,1,3,2,No,2,1,0,0,Nathaniel D. Simms,26,Male,Yes,Orlando Carter,20,Male,Unknown,Robert Bost,,Male,Unknown,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,No,No,No,No,Shot from car ,No,Yes,No,Yes,Yes,no
4/3/10,Los Angeles,CA,Yes,6,4,2,0,4,0,No,1,0,0,0,Nerses Arthur Galstyan,28,Male,No, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,No,No,No,No,Restaurant,No,No,No,Yes,No,no
4/14/10,Chicago,IL,Yes,6,5,1,4,1,3,No,1,0,0,0,James A. Larry,32,Male,Yes, ,,,, ,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"approx six months before the shooting, Larry attacked his wife in a Walmart parking lot, pled no contest to misdemeanor battery",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
6/6/10,Hialeah,FL,No,7,4,3,4,0,0,Yes,1,0,0,0,Gerardo Regalado,38,Male,No, ,,,, ,,,,No,Yes,Yes,No,No,Yes,Unknown,,Yes,No,No,No,No,No,No,Restaurant,No,No,No,Yes,No,no
8/3/10,Manchester,CT,Yes,10,8,2,0,8,0,Yes,2,0,0,0,Omar Thornton,34,Male,No, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,no
8/6/10,Lanham,MD,Yes,4,4,0,3,1,2,No,0,0,0,1,Darrell Lynn Bellard,43,Male,No, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,No,No,No,No,yes
8/14/10,Buffalo,NY,Yes,8,4,4,2,2,0,No,1,0,0,0,Roccardo McCray,24,Male,No, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,No,No,No,No,Restaurant,No,No,No,Yes,No,no
8/29/10,Lake Havasu,AZ,Yes,5,5,0,2,3,0,Yes,1,0,0,0,Brian Diez,26,Male,Yes, ,,,, ,,,,Yes,Yes,No,Yes,No,Yes,Yes,"one month before the killings, he was convicted of assaulting his infant son",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
9/2/10,Chicago,IL,Yes,4,4,0,0,4,0,No,0,0,0,1,Raul Segura-Rodriguez,36,Male,No, ,,,, ,,,,No,No,No,No,No,No,Unknown,,No,No,No,No,No,No,No,Car,No,No,No,No,No,no
9/10/10,Jackson,KY,Yes,5,5,0,4,1,0,Yes,0,0,1,0,Stanley Neace,47,Male,No, ,,,, ,,,,No,Yes,Yes,No,No,Unknown,Yes,"A neighbor reported that, a year before the shooting, Neace shot at his wife and put a hole in the bathtub",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
9/27/10,Riviera Beach,FL,No,6,5,1,2,3,4,Yes,1,0,0,0,Patrick Dell,41,Male,Yes, ,,,, ,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Less than a yr before the shooting, Dell was arrested for threatening his wife and another woman with knife",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
9/28/10,Boston,MA,Yes,5,4,1,1,3,1,No,2,0,0,0,Dwayne Moore,33,Male,Yes,,,,, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,No,No,No,No,Street,No,No,No,Yes,No,no
1/8/11,Tucson,AZ,Yes,19,6,13,3,3,1,No,1,0,0,0,Jared Loughner,22,Male,No, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,No,No,No,No,Grocery Store,No,Yes,No,Yes,No,no
1/28/11,Minot,ND,No,4,4,0,2,2,1,No,1,0,0,0,Omar Mohamed Kalmio,28,Male,Yes, ,,,, ,,,,Yes,Yes,No,Yes,No,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
2/11/11,Willowbrook,CA,Yes,4,4,0,0,4,0,No,0,0,0,1,Unknown,Unknown,Unknown,Unknown, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Unknown,No,No,No,yes
4/16/11,Oak Harbor,OH,Yes,4,4,0,2,2,3,Yes,0,0,2,0,Alan Atwater,31,Male,No, ,,,, ,,,,No,Yes,Yes,Yes,No,Unknown,Yes,Reportedly choked wife and held her up against the wall,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
5/11/11,Ammon,ID,Yes,4,4,0,2,2,2,Yes,1,0,0,0,Gaylin Leirmoe,26,Male,No, ,,,, ,,,,No,Yes,No,Yes,No,Yes,Yes,charged w domestic battery in Oct 2009,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
6/2/11,Yuma,AZ,No,6,5,1,2,3,0,Yes,0,0,0,1,Carey H. Dyess,73,Male,No, ,,,, ,,,,No,Yes,Yes,Yes,No,Yes,Yes,Records indicate that a protection order was issued against Dyess while they were married,Yes,No,No,Yes,No,No,Yes,"homes, office",No,No,No,No,No,no
6/19/11,Medford,NY,Yes,4,4,0,2,2,1,No,1,0,0,0,David Laffer,33,Male,No, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,No,No,No,No,Pharmacy,No,Yes,No,Yes,No,no
6/23/11,Grand Prairie,TX,Yes,9,5,4,4,1,1,Yes,1,0,0,0,Tan Do,35,Male,No, ,,,, ,,,,No,Yes,Yes,Yes,No,Yes,Yes,"Do had a history of domestic violence. His wife filed a protective order against him in December 2010 because he had threatened her three times with a gun over the course of the year. But, she asked that the protective order be dismissed weeks later.",Yes,No,No,No,No,No,No,Forum Roller World (roller rink),No,Yes,No,Yes,Yes,no
7/3/11,Wagener,SC,No,4,4,0,4,0,0,Yes,0,0,1,0,Kenneth Myers,46,Male,No, ,,,, ,,,,No,Yes,Yes,No,Yes,Unknown,Unknown,,Yes,Yes,No,Yes,No,No,No,,No,Yes,No,No,No,yes
7/7/11,Grand Rapids,MI,No,9,7,2,6,1,2,Yes,1,0,0,0,Rodrick Shonte Dantzler,34,Male,Yes, ,,,, ,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,prior DV convictions,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
7/30/11,Wheatland,WY,Yes,5,4,1,0,4,2,No,2,0,0,0,Everett E. Conant III,35,Male,No, ,,,, ,,,,No,Yes,Yes,Yes,Yes,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
8/5/11,Marion County,FL,No,4,4,0,3,1,2,No,1,0,0,0,James Edward Bannister,31,Male,No, ,,,, ,,,,No,Yes,No,Yes,Yes,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
8/7/11,Copley Township,OH,No,8,7,1,3,4,3,No,2,0,0,0,Michael E. Hance,51,Male,No, ,,,, ,,,,No,Yes,No,No,No,No,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
8/27/11,Chesterfield,VA,No,7,5,2,3,2,1,Yes,1,0,0,0,Leonard John Egland,37,Male,No, ,,,, ,,,,No,Yes,Yes,Yes,No,No,Unknown,,Yes,Yes,Yes,Yes,No,No,No,,No,No,No,No,No,yes
9/6/11,Monongalia County,WV,Yes,6,5,1,2,3,1,Yes,1,0,2,0,Shayne Riggleman,22,Male,Yes, ,,,, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Unknown,No,No,No,yes
9/6/11,Carson City,NV,Yes,11,4,7,2,2,0,Yes,1,1,0,0,Eduardo Sencion,32,Male,No, ,,,, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,No,No,No,No,,No,Yes,No,Yes,No,no
9/26/11,Laurel,IN,Yes,5,5,0,2,3,0,No,2,0,0,0,David E. Ison,46,Male,Yes, ,,,, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,No,No,No,No,yes
10/12/11,Seal Beach,CA,Yes,9,8,1,6,2,0,No,3,0,0,0,Scott Evans Dekraai,41,Male,No, ,,,, ,,,,No,Yes,Yes,No,No,Yes,Yes,"attacked his stepfather, resulted in protective order",Yes,No,No,No,No,No,No,Salon,No,No,No,Yes,No,no
10/14/11,Liberty,SC,Yes,4,4,0,1,3,0,No,1,0,0,0,Susan Diane Hendricks,48,Female,No, ,,,, ,,,,No,Yes,Yes,No,No,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
11/20/11,Greensboro,NC,No,6,5,1,2,3,5,Yes,1,0,0,0,Mary Ann Holder,36,Female,No, ,,,, ,,,,No,Yes,No,No,Yes,Yes,Yes,Yes - restraining orders between the man she was having an affair with and her,Yes,No,No,Yes,No,No,Yes,"home, guilford technical community college aviation center parking lot, car",No,No,No,No,Yes,no
11/30/11,Bay City,TX,Yes,5,4,1,1,3,4,Yes,1,0,0,0,Jose Avila-Alva,27,Male,Yes, ,,,, ,,,,Yes,Yes,Yes,No,No,Yes,Yes,"week before the shooting, Avila-Alva was reported to police for DV assault; his wife was taken to a women's crisis center, but she did not file charges",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
12/15/11,Gargatha,VA,Yes,4,4,0,3,1,2,Yes,0,0,0,1,Esteban Quintero-Gonzales,37,Male,No, ,,,, ,,,,No,Yes,No,Yes,No,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
12/16/11,Emington,IL,No,4,4,0,1,3,3,Yes,1,0,0,0,Sara McMeen,30,Female,No, ,,,, ,,,,No,Yes,No,Yes,Yes,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
12/25/11,Grapevine,TX,Yes,6,6,0,4,2,1,Yes,2,0,0,0,Aziz Yazdanpanah,56,Male,No, ,,,, ,,,,No,Yes,No,Yes,No,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
1/17/12,Villa Park,IL,No,4,4,0,2,2,2,Yes,1,0,0,0,Cedric Anderson,42,Male,Yes, ,,,, ,,,,Yes,Yes,No,No,Yes,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
1/29/12,Birmingham,AL,No,5,5,0,0,5,0,No,3,0,0,0,Artavius Underwood,16,Male,Yes,Rashad Stoves,17,Male,Yes,Reginald Mims,16,Male,Yes,Yes,No,No,No,No,No,Unknown,,No,No,No,Yes,No,No,No,,No,No,No,No,No,yes
2/20/12,Norcross,GA,Yes,4,4,0,2,2,0,Yes,1,0,0,0,Jeong Soo Paek,59,Male,No, ,,,, ,,,,No,No,No,No,Yes,Yes,Yes,"arrested on 2006 charges of simple battery for striking his sister, but charges were dropped",Yes,No,No,No,No,No,No,Spa,No,No,No,Yes,No,no
4/2/12,Oakland,CA,Yes,7,7,0,6,1,0,No,1,0,0,0,One L. Goh,43,Male,No, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,No,Yes,No,No,,No,No,No,Yes,Yes,no
5/2/12,Gilbert,AZ,Yes,4,4,0,3,1,1,Yes,2,0,1,0,Jason Todd Ready,39,Male,No, ,,,, ,,,,No,Yes,No,No,No,Yes,Yes,girlfriend told police about two prior domestic violence incidents,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
5/15/12,Port St. John,FL,No,4,4,0,2,2,4,Yes,1,0,0,0,Tonya Thomas,33,Female,No, ,,,, ,,,,No,No,No,No,Yes,Yes,Yes,"arrested in 2002 for striking the father of her children, charge dropped",Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
5/19/12,Leivasy,WV,Yes,4,4,0,2,2,2,No,0,0,1,0,James Roy Belknap,27,Male,Yes, ,,,, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
5/20/12,Seattle,WA,Yes,5,5,0,2,3,0,Yes,2,0,0,0,Ian Lee Stawicki,40,Male,No, ,,,, ,,,,No,No,No,No,No,Yes,Yes,"two yrs before shooting, Stawicki was charged with misdemeanor assault for attacking his brother, but charges were dropped",No,No,No,No,No,No,No,Cafe,No,Yes,No,Yes,Yes,no
6/2/12,Tempe,AZ,Yes,4,4,0,2,2,3,Yes,0,0,0,1,James Butwin,47,Male,No, ,,,, ,,,,No,Yes,Yes,No,Yes,No,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
7/6/12,Newton Falls,OH,Yes,4,4,0,2,2,1,Yes,0,0,0,1,Robert Brazzon,55,Male,Unknown, ,,,, ,,,,No,Yes,No,No,No,Yes,Yes,"convictions for DV, sexual battery, gross sexual imposition",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
7/20/12,Aurora,CO,No,82,12,70,4,8,1,No,2,1,1,0,James Holmes,24,Male,No, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,No,No,No,No,Movie Theater,No,Yes,No,Yes,Yes,no
8/5/12,Oak Creek,WI,Yes,9,6,3,1,5,0,Yes,1,0,0,0,Wade Michael Page,40,Male,No, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,Yes,Yes,No,No,No,No,Sikh temple,No,No,Yes,Yes,No,no
9/27/12,Minneapolis,MN,Yes,8,6,2,0,6,0,Yes,1,0,0,0,Andrew John Engeldinger,36,Male,No, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,No,No,Yes,No,,No,No,No,Yes,No,no
11/18/12,New Town,ND,No,5,4,1,2,2,3,Yes,0,0,1,0,Kalcie Eagle,21,Male,Yes, ,,,, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
12/2/12,Northridge,CA,Yes,4,4,0,2,2,0,No,1,0,0,0,Ka Pasasouk,31,Male,Yes, ,,,, ,,,,Yes,No,No,No,No,No,Unknown,,No,No,No,No,No,No,No,,No,Yes,No,Yes,No,no
12/4/12,Detroit,MI,Yes,4,4,0,1,3,1,No,0,0,0,1,Unknown,Unknown,Unknown,Unknown, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Unknown,No,No,No,yes
12/8/12,Tule River Reservation,CA,No,6,4,2,2,2,1,Yes,1,0,0,0,Hector Celaya,31,Male,Yes, ,,,, ,,,,Yes,No,No,No,Yes,Unknown,Unknown,,Yes,Yes,No,Yes,No,No,Yes,Home + car,No,Yes,No,No,No,no
12/14/12,Newtown,CT,No,29,27,2,19,8,20,Yes,2,1,1,0,Adam Peter Lanza,20,Male,No, ,,,, ,,,,No,No,No,No,Yes,Unknown,Unknown,,Yes,No,No,No,Yes,No,No,,No,No,No,Yes,Yes,no
1/7/13,Tulsa,OK,,4,4,0,4,0,0,No,1,0,0,0,Cedric Dwayne Poore,39,Male,Yes,James Stanford Poore,32,Male,Yes, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,No,No,No,No,yes
1/19/13,Albuquerque,NM,,5,5,0,3,2,3,No,0,1,1,0,Nehemiah Griego,15,Male,No, ,,,, ,,,,No,No,No,No,Yes,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
4/13/13,Herkimer,NY,,6,4,2,2,2,0,No,0,0,1,0,Kurt Myers,64,Male,No, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,Yes,No,No,No,No,No,,No,No,No,Yes,No,no
4/18/13,Akron,OH,,4,4,0,2,2,0,No,0,0,0,1,Derrick Brantley,21,Male,Yes,Deshanon Haywood,21,Male,Yes, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,No,No,No,No,yes
4/21/13,Federal Way,WA,,4,4,0,1,3,0,No,1,0,1,0,Dennis Clark III,27,Male,No, ,,,, ,,,,No,Yes,No,No,No,No,Yes,he had been reported to police in Seattle and Federal Way for domestic violence involving verbal abuse but there was no cause to arrest him,Yes,Yes,No,Yes,No,No,Yes,2 apartments + parking lot,No,No,No,No,No,no
4/24/13,Manchester,IL,,6,5,1,2,3,2,No,0,0,1,0,Rick Odell Smith,43,Male,Yes, ,,,, ,,,,Yes,No,No,No,Yes,Unknown,Unknown,,Yes,Yes,No,Yes,No,No,No,,No,No,No,No,No,yes
4/28/13,Ottawa,KS,,4,4,0,2,2,1,No,0,0,1,0,Kyle Flack,27,Male,Yes, ,,,, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,No,No,No,No,yes
5/11/13,Waynesville,IN,,4,4,0,1,3,0,No,0,0,1,0,Samuel Earl Sallee,55,Male,Yes, ,,,, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,No,No,No,No,yes
5/13/13,Fernley,NV,,5,5,0,2,3,0,No,2,0,0,0,Jeremiah Bean,25,Male,Yes, ,,,, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,Yes,2 private homes + highway overpass,No,Yes,No,No,No,no
6/7/13,Santa Monica,CA,,9,5,4,2,3,0,No,1,1,0,0,John Zawahri,23,Male,No, ,,,, ,,,,No,No,No,No,Yes,Unknown,Unknown,,Yes,No,No,Yes,Yes,No,Yes,"home, road, school",No,No,No,Yes,Yes,no
7/26/13,Hialeah,FL,,6,6,0,3,3,1,No,1,0,0,0,Pedro Alberto Vargas,42,Male,No, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,Yes,No,Yes,No,No,No,,No,Yes,No,No,No,yes
7/26/13,Clarksburg,WV,,4,4,0,0,4,0,No,1,0,0,0,Sidney Muller,27,Male,No, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,No,No,No,No,yes
8/7/13,Dallas,TX,,8,4,4,4,0,1,No,1,0,0,0,Erbie Lee Bowser,44,Male,No, ,,,, ,,,,No,Yes,No,No,No,Yes,Yes,"According to Bowser‰Ûªs estranged wife, he shoved her and threatened to kill her in January 2011.",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
8/14/13,Oklahoma City,OK,,4,4,0,3,1,2,No,1,0,0,0,Daniel Green,40,Male,No, ,,,, ,,,,No,No,No,No,Yes,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
9/11/13,Crab Orchard,TN,,4,4,0,1,3,3,No,1,0,0,0,Jacob Allen Bennett,26,Male,Yes,Brittany Lina Yvonn Moser,25,Female,No, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,No,No,No,No,Car,No,Yes,No,Yes,No,no
9/16/13,Washington,DC,,15,12,3,3,9,0,No,1,0,1,0,Aaron Alexis,34,Male,No, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,Yes,No,No,No,No,No,,No,Yes,No,Yes,No,no
